Product Category,Month,Total Amount
Beauty,2024-01,13930
Beauty,2024-02,14035
Beauty,2024-03,10545
Beauty,2024-04,11905
Beauty,2024-05,12450
Beauty,2024-06,10995
Beauty,2024-07,16090
Beauty,2024-08,9790
Beauty,2024-09,6320
Beauty,2024-10,15355
Beauty,2024-11,9700
Beauty,2024-12,12400
Clothing,2024-01,13125
Clothing,2024-02,14560
Clothing,2024-03,15065
Clothing,2024-04,13940
Clothing,2024-05,17455
Clothing,2024-06,10170
Clothing,2024-07,8250
Clothing,2024-08,12455
Clothing,2024-09,9975
Clothing,2024-10,13315
Clothing,2024-11,15200
Clothing,2024-12,12070
Electronics,2024-01,9925
Electronics,2024-02,15465
Electronics,2024-03,3380
Electronics,2024-04,8025
Electronics,2024-05,23245
Electronics,2024-06,15550
Electronics,2024-07,11125
Electronics,2024-08,14715
Electronics,2024-09,7325
Electronics,2024-10,17910
Electronics,2024-11,10020
Electronics,2024-12,20220
